file_path,file_name,hdf5_path,category,matched_term,item_type,shape,dtype,attributes,confidence
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_2,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_3,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_4,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_5,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_6,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_7,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_8,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_amplitude_9,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_0,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_1,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_2,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_3,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_4,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_5,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_6,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_7,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_8,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_frequency_9,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_0,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_1,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_2,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_3,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_4,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_5,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_6,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_7,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_8,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_L1_phase_9,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_0,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_1,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_2,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_3,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_4,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_5,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_6,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_7,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/priors/samples/recalib_V1_amplitude_8,calibration,C01,dataset,"(5000,)",float64,{},MEDIUM
